Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-08-09 00:00:00-04:00,432.59488283321724,432.7586735355105,428.6738433785323,429.4349365234375,78789600,0.0,0.0,0.0
2023-08-10 00:00:00-04:00,431.7856591547792,435.167197948671,428.4234071509756,429.589111328125,93005500,0.0,0.0,0.0
2023-08-11 00:00:00-04:00,427.720120293532,430.3502093181606,427.1228178060312,429.338623046875,68690900,0.0,0.0,0.0
2023-08-14 00:00:00-04:00,428.4233633029166,431.7085266113281,428.1150686990038,431.7085266113281,47867400,0.0,0.0,0.0
2023-08-15 00:00:00-04:00,429.9358890851779,430.2923712690211,426.1111954097984,426.67962646484375,75707500,0.0,0.0,0.0
2023-08-16 00:00:00-04:00,426.2653150386881,427.9223617239687,423.44256433778145,423.5485534667969,80107200,0.0,0.0,0.0
2023-08-17 00:00:00-04:00,425.0130058613244,425.27311294559695,419.8010149757795,420.3212585449219,95711300,0.0,0.0,0.0
2023-08-18 00:00:00-04:00,417.5080258452247,421.5543115245304,417.1612164787308,420.5234680175781,98852000,0.0,0.0,0.0
2023-08-21 00:00:00-04:00,421.5349994297979,424.00129722321185,419.3866396038395,423.2594909667969,68719000,0.0,0.0,0.0
2023-08-22 00:00:00-04:00,425.0321640493009,425.0321640493009,421.5543094057689,422.1130676269531,64994200,0.0,0.0,0.0
2023-08-23 00:00:00-04:00,423.17280782729074,427.431042301619,423.0283039267051,426.814453125,68441000,0.0,0.0,0.0
2023-08-24 00:00:00-04:00,428.41372832126285,428.9243284062607,420.8703007742917,420.89923095703125,88517300,0.0,0.0,0.0
2023-08-25 00:00:00-04:00,422.62369316256587,425.1477928046301,419.0783933508206,423.8664855957031,102325100,0.0,0.0,0.0
2023-08-28 00:00:00-04:00,426.0534571889985,427.171003275981,423.86655259327574,426.554443359375,61595400,0.0,0.0,0.0
2023-08-29 00:00:00-04:00,426.44841900560834,432.9995476574254,426.2653709047112,432.72015380859375,83081900,0.0,0.0,0.0
2023-08-30 00:00:00-04:00,433.05734340842935,435.1382880533624,432.3540517986095,434.50244140625,69053900,0.0,0.0,0.0
2023-08-31 00:00:00-04:00,435.11898360214246,436.2557869248091,433.6835290574293,433.8665771484375,66084600,0.0,0.0,0.0
2023-09-01 00:00:00-04:00,436.5833209067049,437.06502016743536,433.2210400744053,434.67578125,58944100,0.0,0.0,0.0
2023-09-05 00:00:00-04:00,434.23269470933957,434.5506033353466,432.72979513066315,432.7972106933594,55166200,0.0,0.0,0.0
2023-09-06 00:00:00-04:00,431.9878663952489,432.0938555148443,427.56587096314115,429.8876647949219,70758500,0.0,0.0,0.0
2023-09-07 00:00:00-04:00,426.89156794336543,429.24226303585164,426.5447585365695,428.5679016113281,70355400,0.0,0.0,0.0
2023-09-08 00:00:00-04:00,428.6160154651993,430.74511806057524,428.2595627004295,429.21331787109375,61659700,0.0,0.0,0.0
2023-09-11 00:00:00-04:00,431.8337979292306,432.3443980335229,430.1285929169173,432.0361328125,60180100,0.0,0.0,0.0
2023-09-12 00:00:00-04:00,430.59105211482444,432.11320909412444,429.08815252492514,429.6661682128906,67565400,0.0,0.0,0.0
2023-09-13 00:00:00-04:00,429.8877204342684,431.3231749266096,428.78943192828973,430.1671142578125,60199300,0.0,0.0,0.0
2023-09-14 00:00:00-04:00,432.63339669886733,434.56980780447236,431.33280276784916,433.87615966796875,83430800,0.0,0.0,0.0
2023-09-15 00:00:00-04:00,432.2935551441486,432.6222625307114,428.2136712808251,428.6487121582031,111848900,1.583,0.0,0.0
2023-09-18 00:00:00-04:00,428.3393267614431,430.1955896700722,427.86560575276553,428.90008544921875,55752200,0.0,0.0,0.0
2023-09-19 00:00:00-04:00,427.9816479077142,428.57140936349316,425.33263382268484,428.0106506347656,66514600,0.0,0.0,0.0
2023-09-20 00:00:00-04:00,429.26743850526196,429.6831540306982,423.87269606637597,424.07574462890625,82562600,0.0,0.0,0.0
2023-09-21 00:00:00-04:00,421.2334205936458,421.4944451347644,416.9118372759941,417.0665283203125,104095800,0.0,0.0,0.0
2023-09-22 00:00:00-04:00,418.09131961695476,419.6865285568745,415.71297806578804,416.12872314453125,100829700,0.0,0.0,0.0
2023-09-25 00:00:00-04:00,414.92023546020613,417.91728222441265,414.4851650567311,417.8786315917969,70874500,0.0,0.0,0.0
2023-09-26 00:00:00-04:00,414.84285049792544,415.54862280920696,410.90798029741677,411.73944091796875,96168400,0.0,0.0,0.0
2023-09-27 00:00:00-04:00,412.9092244496163,413.4699830924983,408.2686118060124,411.90374755859375,104705800,0.0,0.0,0.0
2023-09-28 00:00:00-04:00,411.35267675993066,415.96428646714304,410.7629154217767,414.2917175292969,92258300,0.0,0.0,0.0
2023-09-29 00:00:00-04:00,417.33713532740484,417.5111516485618,411.76837701603733,413.2862548828125,115111300,0.0,0.0,0.0
2023-10-02 00:00:00-04:00,412.4549170103042,414.3691856249788,410.36663202274156,413.12200927734375,83798600,0.0,0.0,0.0
2023-10-03 00:00:00-04:00,410.94664397430034,413.1799422139496,406.22867088652805,407.59185791015625,103760600,0.0,0.0,0.0
2023-10-04 00:00:00-04:00,408.0559363281981,411.30435944495287,406.59606370497346,410.5599365234375,87453000,0.0,0.0,0.0
2023-10-05 00:00:00-04:00,410.26984669791165,411.2463208378169,407.18579226927517,410.40521240234375,70142700,0.0,0.0,0.0
2023-10-06 00:00:00-04:00,407.9592644123595,416.81512702154566,406.6347574601129,415.2779235839844,113273300,0.0,0.0,0.0
2023-10-09 00:00:00-04:00,413.3830108074734,418.5070521455923,412.8319589906931,417.9366455078125,80374400,0.0,0.0,0.0
2023-10-10 00:00:00-04:00,418.5649967058061,422.70288570856627,418.1686064888882,420.11187744140625,78607300,0.0,0.0,0.0
2023-10-11 00:00:00-04:00,421.17537943505704,422.08414129890025,418.79703802262225,421.8327941894531,62451700,0.0,0.0,0.0
2023-10-12 00:00:00-04:00,422.4419089154139,422.8189443567332,416.91182957643576,419.2611389160156,81154200,0.0,0.0,0.0
2023-10-13 00:00:00-04:00,420.7596289275812,421.9584770278049,415.60661494268294,417.1728210449219,95143100,0.0,0.0,0.0
2023-10-16 00:00:00-04:00,419.4158131019472,422.6255856986061,419.1741138914331,421.5621032714844,75433200,0.0,0.0,0.0
2023-10-17 00:00:00-04:00,418.4392848901998,423.5923279162561,418.0912522340032,421.5426940917969,75324700,0.0,0.0,0.0
2023-10-18 00:00:00-04:00,419.773582814112,420.7307023822685,414.84291231868644,415.92572021484375,93559800,0.0,0.0,0.0
2023-10-19 00:00:00-04:00,416.64118158474537,418.4490872654822,411.59450003268,412.271240234375,121323000,0.0,0.0,0.0
2023-10-20 00:00:00-04:00,411.83610400929126,412.37750784711915,407.0987761718527,407.20513916015625,123919900,0.0,0.0,0.0
2023-10-23 00:00:00-04:00,405.67757598059893,410.3568982821464,403.9276761980999,406.4993591308594,92035100,0.0,0.0,0.0
2023-10-24 00:00:00-04:00,408.61664598235126,410.71460793995783,406.77006062450005,409.5641174316406,78564200,0.0,0.0,0.0
2023-10-25 00:00:00-04:00,407.88192884542195,407.91093157015536,403.17360349885,403.6860046386719,94223200,0.0,0.0,0.0
2023-10-26 00:00:00-04:00,402.6225515026816,403.47330792914914,397.9335809780985,398.8520202636719,115156800,0.0,0.0,0.0
2023-10-27 00:00:00-04:00,400.43762562519,400.83401590980566,395.6229662582375,397.0441589355469,107367700,0.0,0.0,0.0
2023-10-30 00:00:00-04:00,399.82851071417565,402.84491222424634,398.53300645045545,401.7911071777344,86562700,0.0,0.0,0.0
2023-10-31 00:00:00-04:00,402.36144387141417,404.63342201922916,400.4568531906025,404.31439208984375,79665200,0.0,0.0,0.0
2023-11-01 00:00:00-04:00,405.28123407598383,409.43844855236455,404.74947812853236,408.6263427734375,98068100,0.0,0.0,0.0
2023-11-02 00:00:00-04:00,412.4162550930196,416.6121800756191,412.3969297743899,416.4574890136719,94938900,0.0,0.0,0.0
2023-11-03 00:00:00-04:00,418.75840416588386,421.80380835994043,418.63271585397734,420.2569274902344,100167800,0.0,0.0,0.0
